Description,Offense,Punishment,Section,preprocessed_description,preprocessed_offense
"Description of IPC Section 215
According to section 215 of Indian penal code, Whoever takes or agrees or consents to take any gratification under pretence or on account of helping any person to recover any movable property of which he shall have been deprived by any offence punishable under this Code, shall, unless he uses all means in his power to cause the offender to be apprehended and convicted of the offence, be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.


IPC 215 in Simple Words
In simple words, Section 215 of the Indian Penal Code states that if someone takes or agrees to take a bribe under the pretext of helping another person recover their stolen property, but fails to make any effort to apprehend and convict the offender, they can be punished with imprisonment up to two years, or fined, or both.",Taking gift to help to recover movable property of which a person has been deprived by an offence without causing apprehension of offender,2 Years or Fine or Both,IPC_215,"['description', 'ipc', 'section', '215', 'according', 'section', '215', 'indian', 'penal', 'code', ',', 'whoever', 'takes', 'agrees', 'consents', 'take', 'gratification', 'pretence', 'account', 'helping', 'person', 'recover', 'movable', 'property', 'shall', 'deprived', 'offence', 'punishable', 'code', ',', 'shall', ',', 'unless', 'uses', 'means', 'power', 'cause', 'offender', 'apprehended', 'convicted', 'offence', ',', 'punished', 'imprisonment', 'either', 'description', 'term', 'may', 'extend', 'two', 'years', ',', 'fine', ',', '.', 'ipc', '215', 'simple', 'words', 'simple', 'words', ',', 'section', '215', 'indian', 'penal', 'code', 'states', 'someone', 'takes', 'agrees', 'take', 'bribe', 'pretext', 'helping', 'another', 'person', 'recover', 'stolen', 'property', ',', 'fails', 'make', 'effort', 'apprehend', 'convict', 'offender', ',', 'punished', 'imprisonment', 'two', 'years', ',', 'fined', ',', '.']","['taking', 'gift', 'help', 'recover', 'movable', 'property', 'person', 'deprived', 'offence', 'without', 'causing', 'apprehension', 'offender']"
"Description of IPC Section 216
According to section 216 of Indian penal code, Whenever any person convicted of or charged with an offence, being in lawful custody for that offence, escapes from such custody, or whenever a public servant, in the exercise of the lawful powers of such public servant, orders a certain person to be apprehended for an offence, whoever, knowing of such escape or order for apprehension, harbours or conceals that person with the intention of preventing him from being apprehended, shall be punished in the manner following, that is to say:
if a capital offence — if the offence for which the person was in custody or is ordered to be apprehended is punishable with death, he shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine;
if punishable with imprisonment for life, or with imprisonment — if the offence is punishable with imprisonment for life or imprisonment for ten years, he shall be punished with imprisonment of either description for a term which may extend to three years, with or without fine;
and if the offence is punishable with imprisonment which may extend to one year and not to ten years, he shall be punished with imprisonment of the description provided for the offence for a term which may extend to one-fourth part of the longest term of the imprisonment provided for such offence or with fine, or with both.
“Offence” in this section includes also any act or omission of which a person is alleged to have been guilty out of India, which, if he had been guilty of it in India, would have been punishable as an offence, and for which he is, under any law relating to extradition, or otherwise liable to be apprehended or detained in custody in India, and every such act or omission shall, for the purposes of this section, be deemed to be punishable as if the accused person had been guilty of it in India.


IPC 216 in Simple Words
In simple words, Section 216 of the Indian Penal Code states that if someone helps a person, who is in custody for a serious offense or ordered to be apprehended, to escape or hides them with the intention of preventing their arrest, they can face different punishments based on the severity of the offense, ranging from up to seven years of imprisonment and fine for capital offenses to up to three years of imprisonment with or without fine for offenses punishable with life imprisonment or ten years, and one-fourth part of the longest term of imprisonment provided for less serious offenses or fine, or both. This section also includes acts or omissions committed outside India that would be punishable as offenses in India, and the punishment will be as if the accused person committed those acts or omissions in India.","Harbouring an offender who has escaped from custody, or whose apprehension has been ordered, If the offence be capital",7 Years + Fine,IPC_216,"['description', 'ipc', 'section', '216', 'according', 'section', '216', 'indian', 'penal', 'code', ',', 'whenever', 'person', 'convicted', 'charged', 'offence', ',', 'lawful', 'custody', 'offence', ',', 'escapes', 'custody', ',', 'whenever', 'public', 'servant', ',', 'exercise', 'lawful', 'powers', 'public', 'servant', ',', 'orders', 'certain', 'person', 'apprehended', 'offence', ',', 'whoever', ',', 'knowing', 'escape', 'order', 'apprehension', ',', 'harbours', 'conceals', 'person', 'intention', 'preventing', 'apprehended', ',', 'shall', 'punished', 'manner', 'following', ',', 'say', ':', 'capital', 'offence', '—', 'offence', 'person', 'custody', 'ordered', 'apprehended', 'punishable', 'death', ',', 'shall', 'punished', 'imprisonment', 'either', 'description', 'term', 'may', 'extend', 'seven', 'years', ',', 'shall', 'also', 'liable', 'fine', ';', 'punishable', 'imprisonment', 'life', ',', 'imprisonment', '—', 'offence', 'punishable', 'imprisonment', 'life', 'imprisonment', 'ten', 'years', ',', 'shall', 'punished', 'imprisonment', 'either', 'description', 'term', 'may', 'extend', 'three', 'years', ',', 'without', 'fine', ';', 'offence', 'punishable', 'imprisonment', 'may', 'extend', 'one', 'year', 'ten', 'years', ',', 'shall', 'punished', 'imprisonment', 'description', 'provided', 'offence', 'term', 'may', 'extend', 'one-fourth', 'part', 'longest', 'term', 'imprisonment', 'provided', 'offence', 'fine', ',', '.', '“', 'offence', '”', 'section', 'includes', 'also', 'act', 'omission', 'person', 'alleged', 'guilty', 'india', ',', ',', 'guilty', 'india', ',', 'would', 'punishable', 'offence', ',', ',', 'law', 'relating', 'extradition', ',', 'otherwise', 'liable', 'apprehended', 'detained', 'custody', 'india', ',', 'every', 'act', 'omission', 'shall', ',', 'purposes', 'section', ',', 'deemed', 'punishable', 'accused', 'person', 'guilty', 'india', '.', 'ipc', '216', 'simple', 'words', 'simple', 'words', ',', 'section', '216', 'indian', 'penal', 'code', 'states', 'someone', 'helps', 'person', ',', 'custody', 'serious', 'offense', 'ordered', 'apprehended', ',', 'escape', 'hides', 'intention', 'preventing', 'arrest', ',', 'face', 'different', 'punishments', 'based', 'severity', 'offense', ',', 'ranging', 'seven', 'years', 'imprisonment', 'fine', 'capital', 'offenses', 'three', 'years', 'imprisonment', 'without', 'fine', 'offenses', 'punishable', 'life', 'imprisonment', 'ten', 'years', ',', 'one-fourth', 'part', 'longest', 'term', 'imprisonment', 'provided', 'less', 'serious', 'offenses', 'fine', ',', '.', 'section', 'also', 'includes', 'acts', 'omissions', 'committed', 'outside', 'india', 'would', 'punishable', 'offenses', 'india', ',', 'punishment', 'accused', 'person', 'committed', 'acts', 'omissions', 'india', '.']","['harbouring', 'offender', 'escaped', 'custody', ',', 'whose', 'apprehension', 'ordered', ',', 'offence', 'capital']"
"Description of IPC Section 216A
According to section 216A of Indian penal code, Whoever, knowing or having reason to believe that any persons are about to commit or have recently committed robbery or dacoity, harbours them or any of them, with the intention of facilitating the commission of such robbery or dacoity or of screening them or any of them from punishment, shall be punished with rigorous imprisonment for a term which may extend to seven years, and shall also be liable to fine.


IPC 216A in Simple Words
Section 216A of the Indian Penal Code states that anyone who knowingly shelters or hides individuals involved in robbery or dacoity to aid their criminal activities or protect them from punishment can be sentenced to rigorous imprisonment for up to seven years and fined.",Harbouring robbers or dacoits,Rigorous Imprisonment for 7 Years and Fine,IPC_216A,"['description', 'ipc', 'section', '216a', 'according', 'section', '216a', 'indian', 'penal', 'code', ',', 'whoever', ',', 'knowing', 'reason', 'believe', 'persons', 'commit', 'recently', 'committed', 'robbery', 'dacoity', ',', 'harbours', ',', 'intention', 'facilitating', 'commission', 'robbery', 'dacoity', 'screening', 'punishment', ',', 'shall', 'punished', 'rigorous', 'imprisonment', 'term', 'may', 'extend', 'seven', 'years', ',', 'shall', 'also', 'liable', 'fine', '.', 'ipc', '216a', 'simple', 'words', 'section', '216a', 'indian', 'penal', 'code', 'states', 'anyone', 'knowingly', 'shelters', 'hides', 'individuals', 'involved', 'robbery', 'dacoity', 'aid', 'criminal', 'activities', 'protect', 'punishment', 'sentenced', 'rigorous', 'imprisonment', 'seven', 'years', 'fined', '.']","['harbouring', 'robbers', 'dacoits']"
"Description of IPC Section 216B
According to section 216B of Indian penal code, Repealed by the Indian Penal Code (Amendment) Act, 1942 (8 of 1942), S. 3.


IPC 216B in Simple Words
Section 216B of the Indian Penal Code has been removed from the law by the Indian Penal Code (Amendment) Act, 1942 (8 of 1942), S. 3.",,,IPC_216B,"['description', 'ipc', 'section', '216b', 'according', 'section', '216b', 'indian', 'penal', 'code', ',', 'repealed', 'indian', 'penal', 'code', '(', 'amendment', ')', 'act', ',', '1942', '(', '8', '1942', ')', ',', 's.', '3.', 'ipc', '216b', 'simple', 'words', 'section', '216b', 'indian', 'penal', 'code', 'removed', 'law', 'indian', 'penal', 'code', '(', 'amendment', ')', 'act', ',', '1942', '(', '8', '1942', ')', ',', 's.', '3', '.']",[]
"Description of IPC Section 217
According to section 217 of Indian penal code, Whoever, being a public servant, knowingly disobeys any direction of the law as to the way in which he is to conduct himself as such public servant, intending thereby to save, or knowing it to be likely that he will thereby save, any person from legal punishment, or subject him to a less punishment than that to which he is liable, or with intent to save, or knowing that he is likely thereby to save, any property from forfeiture or any charge to which it is liable by law, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.


IPC 217 in Simple Words
In simple words, Section 217 of the Indian Penal Code states that if a public servant knowingly disobeys the law to save someone from legal punishment or subject them to a lesser punishment, or to save property from forfeiture, they can be punished with imprisonment up to two years, or fined, or both.","Public servant disobeying a direction of law with intent to save person from punishment, or property from forfeiture",2 Years or Fine or Both,IPC_217,"['description', 'ipc', 'section', '217', 'according', 'section', '217', 'indian', 'penal', 'code', ',', 'whoever', ',', 'public', 'servant', ',', 'knowingly', 'disobeys', 'direction', 'law', 'way', 'conduct', 'public', 'servant', ',', 'intending', 'thereby', 'save', ',', 'knowing', 'likely', 'thereby', 'save', ',', 'person', 'legal', 'punishment', ',', 'subject', 'less', 'punishment', 'liable', ',', 'intent', 'save', ',', 'knowing', 'likely', 'thereby', 'save', ',', 'property', 'forfeiture', 'charge', 'liable', 'law', ',', 'shall', 'punished', 'imprisonment', 'either', 'description', 'term', 'may', 'extend', 'two', 'years', ',', 'fine', ',', '.', 'ipc', '217', 'simple', 'words', 'simple', 'words', ',', 'section', '217', 'indian', 'penal', 'code', 'states', 'public', 'servant', 'knowingly', 'disobeys', 'law', 'save', 'someone', 'legal', 'punishment', 'subject', 'lesser', 'punishment', ',', 'save', 'property', 'forfeiture', ',', 'punished', 'imprisonment', 'two', 'years', ',', 'fined', ',', '.']","['public', 'servant', 'disobeying', 'direction', 'law', 'intent', 'save', 'person', 'punishment', ',', 'property', 'forfeiture']"
"Description of IPC Section 218
According to section 218 of Indian penal code, Whoever, being a public servant, and being as such public servant, charged with the preparation of any record or other writing, frames that record or writing in a manner which he knows to be incorrect, with intent to cause, or knowing it to be likely that he will thereby cause, loss or injury to the public or to any person, or with intent thereby to save, or knowing it to be likely that he will thereby save, any person from legal punishment, or with intent to save, or knowing that he is likely thereby to save, any property from forfeiture or other charge to which it is liable by law, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.


IPC 218 in Simple Words
In simple words, Section 218 of the Indian Penal Code states that if a public servant, responsible for preparing records or writings, deliberately frames them incorrectly to cause loss, injury, or save someone from legal punishment or property from forfeiture, they can be punished with imprisonment up to three years, or fined, or both.","Public servant framing an incorrect record or writing with intent to save person from punishment, or property from forfeiture",3 Years or Fine or Both,IPC_218,"['description', 'ipc', 'section', '218', 'according', 'section', '218', 'indian', 'penal', 'code', ',', 'whoever', ',', 'public', 'servant', ',', 'public', 'servant', ',', 'charged', 'preparation', 'record', 'writing', ',', 'frames', 'record', 'writing', 'manner', 'knows', 'incorrect', ',', 'intent', 'cause', ',', 'knowing', 'likely', 'thereby', 'cause', ',', 'loss', 'injury', 'public', 'person', ',', 'intent', 'thereby', 'save', ',', 'knowing', 'likely', 'thereby', 'save', ',', 'person', 'legal', 'punishment', ',', 'intent', 'save', ',', 'knowing', 'likely', 'thereby', 'save', ',', 'property', 'forfeiture', 'charge', 'liable', 'law', ',', 'shall', 'punished', 'imprisonment', 'either', 'description', 'term', 'may', 'extend', 'three', 'years', ',', 'fine', ',', '.', 'ipc', '218', 'simple', 'words', 'simple', 'words', ',', 'section', '218', 'indian', 'penal', 'code', 'states', 'public', 'servant', ',', 'responsible', 'preparing', 'records', 'writings', ',', 'deliberately', 'frames', 'incorrectly', 'cause', 'loss', ',', 'injury', ',', 'save', 'someone', 'legal', 'punishment', 'property', 'forfeiture', ',', 'punished', 'imprisonment', 'three', 'years', ',', 'fined', ',', '.']","['public', 'servant', 'framing', 'incorrect', 'record', 'writing', 'intent', 'save', 'person', 'punishment', ',', 'property', 'forfeiture']"
"Description of IPC Section 219
According to section 219 of Indian penal code, Whoever, being a public servant, corruptly or maliciously makes or pronounces in any stage of a judicial proceeding, any report, order, verdict, or decision which he knows to be contrary to law, shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both.


IPC 219 in Simple Words
In simple words, Section 219 of the Indian Penal Code states that if a public servant knowingly gives a false report, order, verdict, or decision in any stage of a judicial proceeding, they can be punished with imprisonment up to seven years, or fined, or both.","Public servant in a judicial proceeding corruptly Making and pronouncing an order, report, Verdict, or decision which he knows to be contrary to law",7 Years or Fine or Both,IPC_219,"['description', 'ipc', 'section', '219', 'according', 'section', '219', 'indian', 'penal', 'code', ',', 'whoever', ',', 'public', 'servant', ',', 'corruptly', 'maliciously', 'makes', 'pronounces', 'stage', 'judicial', 'proceeding', ',', 'report', ',', 'order', ',', 'verdict', ',', 'decision', 'knows', 'contrary', 'law', ',', 'shall', 'punished', 'imprisonment', 'either', 'description', 'term', 'may', 'extend', 'seven', 'years', ',', 'fine', ',', '.', 'ipc', '219', 'simple', 'words', 'simple', 'words', ',', 'section', '219', 'indian', 'penal', 'code', 'states', 'public', 'servant', 'knowingly', 'gives', 'false', 'report', ',', 'order', ',', 'verdict', ',', 'decision', 'stage', 'judicial', 'proceeding', ',', 'punished', 'imprisonment', 'seven', 'years', ',', 'fined', ',', '.']","['public', 'servant', 'judicial', 'proceeding', 'corruptly', 'making', 'pronouncing', 'order', ',', 'report', ',', 'verdict', ',', 'decision', 'knows', 'contrary', 'law']"
"Description of IPC Section 220
According to section 220 of Indian penal code, Whoever, being in any office which gives him legal authority to commit persons for trial or to confinement, or to keep persons in confinement, corruptly or maliciously commits any person for trial or to confinement, or keeps any person in confinement, in the exercise of that authority, knowing that in so doing he is acting contrary to law, shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both.


IPC 220 in Simple Words
In simple words, Section 220 of the Indian Penal Code states that if someone, holding an office with the legal authority to detain or imprison others, corruptly or maliciously detains or imprisons someone knowing it is against the law, they can be punished with imprisonment up to seven years, or fined, or both.","Commitment for trial or confinement by a person Having authority, who Knows that he is Acting contrary to law",7 Years or Fine or Both,IPC_220,"['description', 'ipc', 'section', '220', 'according', 'section', '220', 'indian', 'penal', 'code', ',', 'whoever', ',', 'office', 'gives', 'legal', 'authority', 'commit', 'persons', 'trial', 'confinement', ',', 'keep', 'persons', 'confinement', ',', 'corruptly', 'maliciously', 'commits', 'person', 'trial', 'confinement', ',', 'keeps', 'person', 'confinement', ',', 'exercise', 'authority', ',', 'knowing', 'acting', 'contrary', 'law', ',', 'shall', 'punished', 'imprisonment', 'either', 'description', 'term', 'may', 'extend', 'seven', 'years', ',', 'fine', ',', '.', 'ipc', '220', 'simple', 'words', 'simple', 'words', ',', 'section', '220', 'indian', 'penal', 'code', 'states', 'someone', ',', 'holding', 'office', 'legal', 'authority', 'detain', 'imprison', 'others', ',', 'corruptly', 'maliciously', 'detains', 'imprisons', 'someone', 'knowing', 'law', ',', 'punished', 'imprisonment', 'seven', 'years', ',', 'fined', ',', '.']","['commitment', 'trial', 'confinement', 'person', 'authority', ',', 'knows', 'acting', 'contrary', 'law']"
"Description of IPC Section 221
According to section 221 of Indian penal code, Whoever, being a pubic servant, legally bound as such public servant to apprehend or to keep in confinement any person charged with or liable to be apprehended for an offence, intentionally omits to apprehend such person, or intentionally suffers such person to escape, or intentionally aids such person in escaping or attempting to escape from such confinement, shall be punished as follows, that is to say:
with imprisonment of either description for a term which may extend to seven years, with or without fine, if the person in confinement, or who ought to have been apprehended, was charged with, or liable to be apprehended for, an offence punishable with death; or
with imprisonment of either description for a term which may extend to three years, with or without fine, if the person in confinement, or who ought to have been apprehended, was charged with, or liable to be apprehended for, an offence punishable with imprisonment for life or imprisonment for a term which may extend to ten years; or
with imprisonment of either description for a term which may extend to two years, with or without fine, if the person in confinement, or who ought to have been apprehended, was charged with, or liable to be apprehended for, an offence punishable with imprisonment for a term less than ten years.


IPC 221 in Simple Words
In simple words, Section 221 of the Indian Penal Code states that if a public servant, who is responsible for apprehending someone charged with an offense, intentionally fails to do so or aids their escape, they can be punished with different terms of imprisonment and fines depending on the severity of the offense, ranging from two to seven years.","Intentional omission to apprehend on the part of a public servant bound by law to apprehend an offender, If the offence be Capital",7 Years with or without Fine,IPC_221,"['description', 'ipc', 'section', '221', 'according', 'section', '221', 'indian', 'penal', 'code', ',', 'whoever', ',', 'pubic', 'servant', ',', 'legally', 'bound', 'public', 'servant', 'apprehend', 'keep', 'confinement', 'person', 'charged', 'liable', 'apprehended', 'offence', ',', 'intentionally', 'omits', 'apprehend', 'person', ',', 'intentionally', 'suffers', 'person', 'escape', ',', 'intentionally', 'aids', 'person', 'escaping', 'attempting', 'escape', 'confinement', ',', 'shall', 'punished', 'follows', ',', 'say', ':', 'imprisonment', 'either', 'description', 'term', 'may', 'extend', 'seven', 'years', ',', 'without', 'fine', ',', 'person', 'confinement', ',', 'ought', 'apprehended', ',', 'charged', ',', 'liable', 'apprehended', ',', 'offence', 'punishable', 'death', ';', 'imprisonment', 'either', 'description', 'term', 'may', 'extend', 'three', 'years', ',', 'without', 'fine', ',', 'person', 'confinement', ',', 'ought', 'apprehended', ',', 'charged', ',', 'liable', 'apprehended', ',', 'offence', 'punishable', 'imprisonment', 'life', 'imprisonment', 'term', 'may', 'extend', 'ten', 'years', ';', 'imprisonment', 'either', 'description', 'term', 'may', 'extend', 'two', 'years', ',', 'without', 'fine', ',', 'person', 'confinement', ',', 'ought', 'apprehended', ',', 'charged', ',', 'liable', 'apprehended', ',', 'offence', 'punishable', 'imprisonment', 'term', 'less', 'ten', 'years', '.', 'ipc', '221', 'simple', 'words', 'simple', 'words', ',', 'section', '221', 'indian', 'penal', 'code', 'states', 'public', 'servant', ',', 'responsible', 'apprehending', 'someone', 'charged', 'offense', ',', 'intentionally', 'fails', 'aids', 'escape', ',', 'punished', 'different', 'terms', 'imprisonment', 'fines', 'depending', 'severity', 'offense', ',', 'ranging', 'two', 'seven', 'years', '.']","['intentional', 'omission', 'apprehend', 'part', 'public', 'servant', 'bound', 'law', 'apprehend', 'offender', ',', 'offence', 'capital']"
"Description of IPC Section 222
According to section 222 of Indian penal code, Whoever, being a public servant, legally bound as such public servant to apprehend or to keep in confinement any person under sentence of a Court of Justice for any offence or lawfully committed to custody, intentionally omits to apprehend such person, or intentionally suffers such person to escape or intentionally aids such person in escaping or attempting to escape from such confinement, shall be punished as follows, that is to say:
with imprisonment for life or with imprisonment of either description for a term which may extend to fourteen years, with or without fine, if the person in confinement, or who ought to have been apprehended, is under sentence of death; or
with imprisonment of either description for a term which may extend to seven years, with or without fine, if the person in confinement, or who, ought to have been apprehended, is subject, by a sentence of a Court of Justice, or by virtue of a commutation of such sentence, to imprisonment for life or imprisonment for a term of ten years or upwards; or
with imprisonment of either description for a term which may extend to three years, or with fine, or with both, if the person in confinement, or who ought to have been apprehended is subject, by a sentence of a Court of Justice, to imprisonment for a term not extending to ten years or if the person was lawfully committed to custody.


IPC 222 in Simple Words
In simple words, Section 222 of the Indian Penal Code states that if a public servant, who is responsible for apprehending or keeping someone in custody, intentionally fails to do so or aids their escape, they can face different punishments based on the seriousness of the offense, ranging from imprisonment for life to imprisonment for up to three years, or with fine, or both.","Intentional omission to apprehend on the part of A public servant bound by law to apprehend person under sentence of a court of Justice, If under sentence of death",Imprisonment for Life or 14 Years with or without Fine,IPC_222,"['description', 'ipc', 'section', '222', 'according', 'section', '222', 'indian', 'penal', 'code', ',', 'whoever', ',', 'public', 'servant', ',', 'legally', 'bound', 'public', 'servant', 'apprehend', 'keep', 'confinement', 'person', 'sentence', 'court', 'justice', 'offence', 'lawfully', 'committed', 'custody', ',', 'intentionally', 'omits', 'apprehend', 'person', ',', 'intentionally', 'suffers', 'person', 'escape', 'intentionally', 'aids', 'person', 'escaping', 'attempting', 'escape', 'confinement', ',', 'shall', 'punished', 'follows', ',', 'say', ':', 'imprisonment', 'life', 'imprisonment', 'either', 'description', 'term', 'may', 'extend', 'fourteen', 'years', ',', 'without', 'fine', ',', 'person', 'confinement', ',', 'ought', 'apprehended', ',', 'sentence', 'death', ';', 'imprisonment', 'either', 'description', 'term', 'may', 'extend', 'seven', 'years', ',', 'without', 'fine', ',', 'person', 'confinement', ',', ',', 'ought', 'apprehended', ',', 'subject', ',', 'sentence', 'court', 'justice', ',', 'virtue', 'commutation', 'sentence', ',', 'imprisonment', 'life', 'imprisonment', 'term', 'ten', 'years', 'upwards', ';', 'imprisonment', 'either', 'description', 'term', 'may', 'extend', 'three', 'years', ',', 'fine', ',', ',', 'person', 'confinement', ',', 'ought', 'apprehended', 'subject', ',', 'sentence', 'court', 'justice', ',', 'imprisonment', 'term', 'extending', 'ten', 'years', 'person', 'lawfully', 'committed', 'custody', '.', 'ipc', '222', 'simple', 'words', 'simple', 'words', ',', 'section', '222', 'indian', 'penal', 'code', 'states', 'public', 'servant', ',', 'responsible', 'apprehending', 'keeping', 'someone', 'custody', ',', 'intentionally', 'fails', 'aids', 'escape', ',', 'face', 'different', 'punishments', 'based', 'seriousness', 'offense', ',', 'ranging', 'imprisonment', 'life', 'imprisonment', 'three', 'years', ',', 'fine', ',', '.']","['intentional', 'omission', 'apprehend', 'part', 'public', 'servant', 'bound', 'law', 'apprehend', 'person', 'sentence', 'court', 'justice', ',', 'sentence', 'death']"
"Description of IPC Section 223
According to section 223 of Indian penal code, Whoever, being a public servant legally bound as such public servant to keep in confinement any person charged with or convicted of any offence or lawfully committed to custody, negligently suffers such person to escape from confinement, shall be punished with simple imprisonment for a term which may extend to two years, or with fine, or with both.


IPC 223 in Simple Words
In simple words, Section 223 of the Indian Penal Code states that if a public servant, who is responsible for keeping someone in custody, negligently allows that person to escape, they can be punished with up to two years of simple imprisonment, or fined, or both.",Escape from confinement negligently suffered by a public servant,Simple Imprisonment for 2 Years or Fine or Both,IPC_223,"['description', 'ipc', 'section', '223', 'according', 'section', '223', 'indian', 'penal', 'code', ',', 'whoever', ',', 'public', 'servant', 'legally', 'bound', 'public', 'servant', 'keep', 'confinement', 'person', 'charged', 'convicted', 'offence', 'lawfully', 'committed', 'custody', ',', 'negligently', 'suffers', 'person', 'escape', 'confinement', ',', 'shall', 'punished', 'simple', 'imprisonment', 'term', 'may', 'extend', 'two', 'years', ',', 'fine', ',', '.', 'ipc', '223', 'simple', 'words', 'simple', 'words', ',', 'section', '223', 'indian', 'penal', 'code', 'states', 'public', 'servant', ',', 'responsible', 'keeping', 'someone', 'custody', ',', 'negligently', 'allows', 'person', 'escape', ',', 'punished', 'two', 'years', 'simple', 'imprisonment', ',', 'fined', ',', '.']","['escape', 'confinement', 'negligently', 'suffered', 'public', 'servant']"
"Description of IPC Section 227
According to section 227 of Indian penal code, Whoever, having accepted any conditional remission of punishment, knowingly violates any condition on which such remission was granted, shall be punished with the punishment to which he was originally sentenced, if he has already suffered no part of that punishment, and if he has suffered any part of that punishment, then with so much of that punishment as he has not already suffered.


IPC 227 in Simple Words
In simple words, Section 227 of the Indian Penal Code states that if someone, after accepting conditional remission of their punishment, breaks any condition of that remission, they can be punished with the original sentence's remaining part or the full original sentence if they haven't already served any of it.",Violation of condition of remission of punishment,"Original Sentence, minus time already served",IPC_227,"['description', 'ipc', 'section', '227', 'according', 'section', '227', 'indian', 'penal', 'code', ',', 'whoever', ',', 'accepted', 'conditional', 'remission', 'punishment', ',', 'knowingly', 'violates', 'condition', 'remission', 'granted', ',', 'shall', 'punished', 'punishment', 'originally', 'sentenced', ',', 'already', 'suffered', 'part', 'punishment', ',', 'suffered', 'part', 'punishment', ',', 'much', 'punishment', 'already', 'suffered', '.', 'ipc', '227', 'simple', 'words', 'simple', 'words', ',', 'section', '227', 'indian', 'penal', 'code', 'states', 'someone', ',', 'accepting', 'conditional', 'remission', 'punishment', ',', 'breaks', 'condition', 'remission', ',', 'punished', 'original', 'sentence', ""'s"", 'remaining', 'part', 'full', 'original', 'sentence', ""n't"", 'already', 'served', '.']","['violation', 'condition', 'remission', 'punishment']"
"Description of IPC Section 228
According to section 228 of Indian penal code, Whoever intentionally offers any insult, or causes any interruption to any public servant, while such public servant is sitting in any stage of a judicial proceeding, shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


IPC 228 in Simple Words
In simple words, Section 228 of the Indian Penal Code states that if someone intentionally insults or disrupts a public servant while they are involved in any stage of a judicial proceeding, they can be punished with up to six months of simple imprisonment, or fined up to one thousand rupees, or both.",Intentional insult or interruption to a public servant sitting in any stage of a judicial proceeding,Simple Imprisonment for 6 Months or Fine or Both,IPC_228,"['description', 'ipc', 'section', '228', 'according', 'section', '228', 'indian', 'penal', 'code', ',', 'whoever', 'intentionally', 'offers', 'insult', ',', 'causes', 'interruption', 'public', 'servant', ',', 'public', 'servant', 'sitting', 'stage', 'judicial', 'proceeding', ',', 'shall', 'punished', 'simple', 'imprisonment', 'term', 'may', 'extend', 'six', 'months', ',', 'fine', 'may', 'extend', 'one', 'thousand', 'rupees', ',', '.', 'ipc', '228', 'simple', 'words', 'simple', 'words', ',', 'section', '228', 'indian', 'penal', 'code', 'states', 'someone', 'intentionally', 'insults', 'disrupts', 'public', 'servant', 'involved', 'stage', 'judicial', 'proceeding', ',', 'punished', 'six', 'months', 'simple', 'imprisonment', ',', 'fined', 'one', 'thousand', 'rupees', ',', '.']","['intentional', 'insult', 'interruption', 'public', 'servant', 'sitting', 'stage', 'judicial', 'proceeding']"
